rd,Dev,Adv,Wrong,pure_adv,Train 
100,0.1,9.39,4.178,1.668,
100,0.302040816327,12.856,12.53,6.89,
100,0.504081632653,22.484,24.596,17.298,
100,0.70612244898,36.012,39.286,31.15,
100,0.908163265306,45.82,49.642,41.034,
100,1.11020408163,55.846,59.952,51.068,
100,1.31224489796,64.928,69.108,60.084,
100,1.51428571429,72.334,76.522,67.384,
100,1.71632653061,77.984,82.124,72.938,
100,1.91836734694,82.45,86.52,77.308,
100,2.12040816327,85.708,89.718,80.486,
100,2.32244897959,88.276,92.208,82.958,
100,2.52448979592,90.32,94.148,84.888,
100,2.72653061224,91.998,95.722,86.454,
100,2.92857142857,93.28,96.912,87.642,
100,3.1306122449,94.308,97.838,88.566,
100,3.33265306122,95.08,98.528,89.256,
100,3.53469387755,95.662,99.034,89.76,
100,3.73673469388,96.124,99.396,90.122,
100,3.9387755102,96.41,99.62,90.346,
100,4.14081632653,96.65,99.77,90.496,
100,4.34285714286,96.842,99.88,90.606,
100,4.54489795918,96.992,99.936,90.662,
100,4.74693877551,97.076,99.958,90.684,
100,4.94897959184,97.172,99.988,90.714,
100,5.15102040816,97.228,99.996,90.722,
100,5.35306122449,97.302,100.0,90.726,
100,5.55510204082,97.376,100.0,90.726,
100,5.75714285714,97.406,100.0,90.726,
100,5.95918367347,97.436,100.0,90.726,
100,6.1612244898,97.478,100.0,90.726,
100,6.36326530612,97.508,100.0,90.726,
100,6.56530612245,97.554,100.0,90.726,
100,6.76734693878,97.576,100.0,90.726,
100,6.9693877551,97.6,100.0,90.726,
100,7.17142857143,97.624,100.0,90.726,
100,7.37346938776,97.664,100.0,90.726,
100,7.57551020408,97.692,100.0,90.726,
100,7.77755102041,97.722,100.0,90.726,
100,7.97959183673,97.75,100.0,90.726,
100,8.18163265306,97.774,100.0,90.726,
100,8.38367346939,97.8,100.0,90.726,
100,8.58571428571,97.82,100.0,90.726,
100,8.78775510204,97.856,100.0,90.726,
100,8.98979591837,97.888,100.0,90.726,
100,9.19183673469,97.92,100.0,90.726,
100,9.39387755102,97.954,100.0,90.726,
100,9.59591836735,97.972,100.0,90.726,
100,9.79795918367,98.0,100.0,90.726,
100,10.0,98.016,100.0,90.726,
