rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.05,3.082,0.018,3.036,0.018,4.736,0.032,1
40,0.1,9.38,0.064,9.334,0.063,10.972,0.078,1
40,0.15,19.928,0.144,19.86,0.144,21.554,0.159,1
40,0.2,33.844,0.255,33.734,0.254,35.414,0.270,1
40,0.25,49.312,0.383,49.19,0.382,50.828,0.397,1
40,0.3,62.04,0.494,61.904,0.493,63.474,0.508,1
40,0.35,72.906,0.594,72.764,0.593,74.41,0.608,1
40,0.4,80.67,0.669,80.498,0.667,82.156,0.683,1
40,0.45,85.83,0.719,85.686,0.718,87.184,0.732,1
40,0.5,89.576,0.755,89.376,0.754,91.068,0.770,1
40,0.05,3.33,0.020,3.25,0.019,6.34,0.046,0
40,0.1,8.68,0.060,8.58,0.059,11.45,0.085,0
40,0.15,18.31,0.134,18.15,0.133,20.81,0.157,0
40,0.2,31.13,0.235,31.01,0.234,33.54,0.258,0
40,0.25,48.03,0.373,47.83,0.372,50.37,0.396,0
40,0.3,60.55,0.484,60.38,0.483,62.87,0.507,0
40,0.35,71.18,0.583,70.96,0.582,73.76,0.608,0
40,0.4,78.72,0.652,78.45,0.650,81.62,0.680,0
40,0.45,84.39,0.706,84.14,0.704,86.82,0.729,0
40,0.5,87.62,0.743,87.33,0.741,90.1,0.767,0
